,Median Value,Uncertainty,2-sigma Uncertainty,Uncertainty/Value
Phase,-1.4980628251750527,0.1577530774478459,0.3155061548956918,-0.21060942811849298
Amplitude,674.2723045348212,1.7384801562298795,3.476960312459759,0.005156611489268428
Baseline,812.703693903068,1.3960534641316635,2.792106928263327,0.003435577996273196
