,Median Value,Uncertainty,2-sigma Uncertainty,Uncertainty/Value
Phase,-1.4783896165186148,0.39897588503101455,0.7979517700620291,-0.539743895077595
Amplitude,674.3814719217701,4.688558555249557,9.377117110499114,0.013904766813621598
Baseline,812.8374069881838,3.8096118108838977,7.619223621767795,0.009373613414273582
