Trial Number,Angle A,Angle B,N_A,N_B,N_COIN,TIME [s],N_coin / time,,,
,0,100.00  44688  26065,164  99999,100,44688,26065,164,99999,,
,0,100.00  44724  25993,171 100000,100,44724,25993,171,100000,,
,0,100.00  44233  25940,170  99118,100,44233,25940,170,99118,1651,998067
,0,112.50  44758  25877,329 100001,112.5,44758,25877,329,100001,,
,0,112.50  44830  25652,347 100005,112.5,44830,25652,347,100005,,
,0,112.50  44307  25739,315 100002,112.5,44307,25739,315,100002,,
,0,112.50  44978  25631,321 100000,112.5,44978,25631,321,100000,,
,0,112.50  44417  25786,345 100001,112.5,44417,25786,345,100001,,
,0,112.50  44692  25771,360 100001,112.5,44692,25771,360,100001,,
,0,112.50  44562  25641,333 100001,112.5,44562,25641,333,100001,,
,0,112.50  45362  25899,344 100001,112.5,45362,25899,344,100001,,
,0,112.50  44821  25819,345 100002,112.5,44821,25819,345,100002,,
,0,112.50  44952  25517,323 100002,112.5,44952,25517,323,100002,3362,1000016
,0,120.00  44834  25502,482 100001,120,44834,25502,482,100001,,
,0,120.00  44592  25469,432 100001,120,44592,25469,432,100001,,
,0,120.00  44778  25528,424 100002,120,44778,25528,424,100002,,
,0,120.00  44797  25443,463 100005,120,44797,25443,463,100005,,
,0,120.00  44120  25130,511  99138,120,44120,25130,511,99138,,
,0,120.00  44081  25417,473  99105,120,44081,25417,473,99105,,
,0,120.00  44441  25483,477 100001,120,44441,25483,477,100001,,
,0,120.00  44935  25494,457 100003,120,44935,25494,457,100003,,
,0,120.00  44996  25803,458 100003,120,44996,25803,458,100003,,
,0,120.00  44551  25462,453 100000,120,44551,25462,453,100000,4630,998259
,0,135.00  44502  26058,735 100002,135,44502,26058,735,100002,,
,0,135.00  44418  25775,795  99107,135,44418,25775,795,99107,,
,0,135.00  44707  25851,814 100005,135,44707,25851,814,100005,,
,0,135.00  44600  25838,807 100002,135,44600,25838,807,100002,,
,0,135.00  44533  25783,782 100002,135,44533,25783,782,100002,,
,0,135.00  44551  25795,798 100002,135,44551,25795,798,100002,,
,0,135.00  44239  25972,801 100003,135,44239,25972,801,100003,,
,0,135.00  44333  25984,827 100008,135,44333,25984,827,100008,,
,0,135.00  44469  25805,815 100003,135,44469,25805,815,100003,,
,0,135.00  44549  25848,800 100003,135,44549,25848,800,100003,7974,999137
,0,157.50  44673  27427,1284 100007,157.5,44673,27427,1284,100007,,
,0,157.50  44621  27380,1252 100003,157.5,44621,27380,1252,100003,,
,0,157.50  44853  27143,1265 100005,157.5,44853,27143,1265,100005,,
,0,157.50  44715  27299,1260 100004,157.5,44715,27299,1260,100004,,
,0,157.50  44778  26979,1280 100006,157.5,44778,26979,1280,100006,,
,0,157.50  44798  27257,1296 100008,157.5,44798,27257,1296,100008,,
,0,157.50  44010  26976,1236  98865,157.5,44010,26976,1236,98865,,
,0,157.50  44510  27543,1227 100008,157.5,44510,27543,1227,100008,,
,0,157.50  44643  27726,1359 100005,157.5,44643,27726,1359,100005,,
,0,157.50  44227  27117,1248 100003,157.5,44227,27117,1248,100003,12707,998914
,0,170.00  44473  28177,1418 100009,170,44473,28177,1418,100009,,
,0,170.00  44887  28466,1510 100006,170,44887,28466,1510,100006,,
,0,170.00  44706  28427,1380 100007,170,44706,28427,1380,100007,,
,0,170.00  44499  28406,1412 100012,170,44499,28406,1412,100012,,
,0,170.00  44352  28428,1492 100007,170,44352,28428,1492,100007,,
,0,170.00  44506  28868,1439 100006,170,44506,28868,1439,100006,,
,0,170.00  44484  28425,1448 100002,170,44484,28425,1448,100002,,
,0,170.00  44535  28506,1412 100012,170,44535,28506,1412,100012,,
,0,170.00  44886  28590,1482 100004,170,44886,28590,1482,100004,,
,0,170.00  44613  28541,1433 100006,170,44613,28541,1433,100006,14426,1000071
,0,180.00  44591  29089,1511 100008,180,44591,29089,1511,100008,,
,0,180.00  44476  29162,1469 100002,180,44476,29162,1469,100002,,
,0,180.00  45116  29278,1520 100005,180,45116,29278,1520,100005,,
,0,180.00  44709  29421,1501 100005,180,44709,29421,1501,100005,,
,0,180.00  44749  29266,1542 100008,180,44749,29266,1542,100008,,
,0,180.00  44427  29230,1489 100008,180,44427,29230,1489,100008,,
,0,180.00  44598  29290,1508 100003,180,44598,29290,1508,100003,,
,0,180.00  44720  29663,1509 100009,180,44720,29663,1509,100009,,
,0,180.00  44812  29524,1550 100002,180,44812,29524,1550,100002,,
,0,180.00  44278  28894,1481 100004,180,44278,28894,1481,100004,15080,1000054
,0,80.00  44906  26873,200 100000,80,44906,26873,200,100000,,
,0,80.00  44680  26831,183 100000,80,44680,26831,183,100000,,
,0,80.00  44378  26969,182  99029,80,44378,26969,182,99029,,
,0,80.00  44726  26871,196 100000,80,44726,26871,196,100000,,
,0,80.00  44802  26619,200 100001,80,44802,26619,200,100001,,
,0,80.00  44845  27101,224 100000,80,44845,27101,224,100000,,
,0,80.00  44545  27005,182 100000,80,44545,27005,182,100000,,
,0,80.00  44714  26623,187 100002,80,44714,26623,187,100002,,
,0,80.00  44446  26576,195  99109,80,44446,26576,195,99109,,
,0,80.00  44799  26620,163 100002,80,44799,26620,163,100002,1912,998143
,0,130.00  44888  25701,674 100002,130,44888,25701,674,100002,,
,0,130.00  45013  25619,736 100001,130,45013,25619,736,100001,,
,0,130.00  44670  25685,695 100006,130,44670,25685,695,100006,,
,0,130.00  44487  25658,638 100002,130,44487,25658,638,100002,,
,0,130.00  44615  25351,635 100001,130,44615,25351,635,100001,,
,0,130.00  44807  25670,709 100005,130,44807,25670,709,100005,,
,0,130.00  44994  25480,751 100005,130,44994,25480,751,100005,,
,0,130.00  44079  25688,674  99095,130,44079,25688,674,99095,,
,0,130.00  44882  25461,724 100004,130,44882,25461,724,100004,,
,0,130.00  44669  25406,676 100005,130,44669,25406,676,100005,6912,999126
,0,150.00  45009  26584,1123 100002,150,45009,26584,1123,100002,,
,0,150.00  44557  26775,1126 100010,150,44557,26775,1126,100010,,
,0,150.00  44596  27063,1145 100003,150,44596,27063,1145,100003,,
,0,150.00  44847  26541,1169 100008,150,44847,26541,1169,100008,,
,0,150.00  44675  26579,1109 100004,150,44675,26579,1109,100004,,
,0,150.00  44750  26913,1196 100005,150,44750,26913,1196,100005,,
,0,150.00  45116  26581,1141 100003,150,45116,26581,1141,100003,,
,0,150.00  44697  26648,1171 100010,150,44697,26648,1171,100010,,
,0,150.00  44811  26500,1199 100003,150,44811,26500,1199,100003,,
,0,150.00  44303  26545,1123  99073,150,44303,26545,1123,99073,11502,999121
,0,40.00  44271  29998,928 100002,40,44271,29998,928,100002,,
,0,40.00  44485  29187,966  98872,40,44485,29187,966,98872,,
,0,40.00  44990  29622,1016 100004,40,44990,29622,1016,100004,,
,0,40.00  44638  29270,965 100003,40,44638,29270,965,100003,,
,0,40.00  44681  29717,948 100003,40,44681,29717,948,100003,,
,0,40.00  44152  29524,945 100002,40,44152,29524,945,100002,,
,0,40.00  44602  29651,940  99999,40,44602,29651,940,99999,,
,0,40.00  44495  29455,928 100002,40,44495,29455,928,100002,,
,0,40.00  44671  29491,1015 100002,40,44671,29491,1015,100002,,
,0,40.00  44508  29769,971 100006,40,44508,29769,971,100006,9622,998895
,0,10.00  44625  29525,1327 100000,10,44625,29525,1327,100000,,
,0,10.00  44568  29367,1395 100010,10,44568,29367,1395,100010,,
,0,10.00  44611  29663,1365 100069,10,44611,29663,1365,100069,,
,0,10.00  45052  29478,1420 100005,10,45052,29478,1420,100005,,
,0,10.00  44673  29293,1343 100001,10,44673,29293,1343,100001,,
,0,10.00  44793  29775,1402 100010,10,44793,29775,1402,100010,,
,0,10.00  44805  29538,1471 100003,10,44805,29538,1471,100003,,
,0,10.00  43917  29173,1347  99110,10,43917,29173,1347,99110,,
,0,10.00  44050  29749,1400 100004,10,44050,29749,1400,100004,,
,0,10.00  44726  29342,1412 100003,10,44726,29342,1412,100003,13882,999215
,,,,,,,,,,
,,,,0,44732,29773,1386,100011,,
,,,,0,44703,29237,1414,100008,,
,,,,0,44872,29324,1438,100005,,
,,,,0,45242,29376,1474,100004,,
,,,,0,45284,29419,1431,100009,,
,,,,0,44906,29301,1434,100012,,
,,,,0,44891,29392,1460,100010,,
,,,,0,44571,29171,1398,100003,,
,,,,0,45113,29442,1445,100003,,
,,,,0,44800,29307,1460,100012,,
,,,,22.5,44990,29643,1320,100005,,
,,,,22.5,44991,29540,1320,100003,,
,,,,22.5,45101,29968,1306,100011,,
,,,,22.5,44562,29549,1330,100001,,
,,,,22.5,45237,29793,1335,100007,,
,,,,22.5,44510,29577,1349,100006,,
,,,,22.5,44822,29844,1290,100006,,
,,,,22.5,45271,29945,1305,100009,,
,,,,22.5,44696,29907,1261,100007,,
,,,,22.5,44462,29475,1263,99052,,
,,,,30,44839,29676,1150,100003,,
,,,,30,44191,29638,1156,99067,,
,,,,30,44937,29670,1146,100006,,
,,,,30,44929,29639,1170,100002,,
,,,,30,44896,29772,1159,100004,,
,,,,30,44500,29984,1192,100003,,
,,,,30,44646,29777,1185,100008,,
,,,,30,44380,29956,1185,100004,,
,,,,30,44952,29740,1179,100003,,
,,,,30,44509,29799,1174,100026,,
,,,,45,44861,29682,890,100003,,
,,,,45,45078,29730,908,100004,,
,,,,45,44677,29595,862,100004,,
,,,,45,44630,29268,825,100002,,
,,,,45,44944,29368,870,100002,,
,,,,45,44836,29517,833,100002,,
,,,,45,44872,29569,822,100003,,
,,,,45,44421,29384,869,100003,,
,,,,45,44513,29482,871,100007,,
,,,,45,44768,29334,887,100021,,
,,,,60,44988,28226,588,100003,,
,,,,60,44794,28139,494,100002,,
,,,,60,44055,28392,508,99086,,
,,,,60,44469,28519,480,100001,,
,,,,60,44448,28261,513,100005,,
,,,,60,44834,28145,515,100000,,
,,,,60,44702,28182,515,100002,,
,,,,60,44750,28677,526,100001,,
,,,,60,44861,28158,515,100005,,
,,,,60,44677,28116,567,100001,,
,,,,67.5,44619,27605,310,100001,,
,,,,67.5,45016,27421,311,100000,,
,,,,67.5,44837,27537,304,100001,,
,,,,67.5,44476,27498,355,100002,,
,,,,67.5,44888,27599,305,100001,,
,,,,67.5,45148,27684,328,100001,,
,,,,67.5,44855,27508,322,100001,,
,,,,67.5,44638,27612,320,100003,,
,,,,67.5,44546,27467,339,100001,,
,,,,67.5,44969,27656,310,100000,,
,,,,90,44899,26377,134,100001,,
,,,,90,45378,26533,122,100001,,
,,,,90,44448,26267,131,99094,,
,,,,90,44716,26266,134,100000,,
,,,,90,44817,26167,146,100000,,
,,,,90,44964,26903,135,100000,,
,,,,90,44957,26710,145,100000,,
,,,,90,45139,26598,127,100001,,
,,,,90,44630,26669,139,99074,,
,,,,90,45082,26512,120,99999,,
,,,,100,44514,26051,166,99999,,
,,,,100,44443,25781,181,100001,,
,,,,100,45106,26042,164,100000,,
,,,,100,44962,26292,153,100001,,
,,,,100,44790,25927,171,99999,,
,,,,100,44199,25793,130,98950,,
,,,,100,44835,25752,181,100000,,
,,,,100,44688,26065,164,99999,,
,,,,100,44724,25993,171,100000,,
,,,,100,44233,25940,170,99118,,
,,,,112.5,44758,25877,329,100001,,
,,,,112.5,44830,25652,347,100005,,
,,,,112.5,44307,25739,315,100002,,
,,,,112.5,44978,25631,321,100000,,
,,,,112.5,44417,25786,345,100001,,
,,,,112.5,44692,25771,360,100001,,
,,,,112.5,44562,25641,333,100001,,
,,,,112.5,45362,25899,344,100001,,
,,,,112.5,44821,25819,345,100002,,
,,,,112.5,44952,25517,323,100002,,
,,,,120,44834,25502,482,100001,,
,,,,120,44592,25469,432,100001,,
,,,,120,44778,25528,424,100002,,
,,,,120,44797,25443,463,100005,,
,,,,120,44120,25130,511,99138,,
,,,,120,44081,25417,473,99105,,
,,,,120,44441,25483,477,100001,,
,,,,120,44935,25494,457,100003,,
,,,,120,44996,25803,458,100003,,
,,,,120,44551,25462,453,100000,,
,,,,135,44502,26058,735,100002,,
,,,,135,44418,25775,795,99107,,
,,,,135,44707,25851,814,100005,,
,,,,135,44600,25838,807,100002,,
,,,,135,44533,25783,782,100002,,
,,,,135,44551,25795,798,100002,,
,,,,135,44239,25972,801,100003,,
,,,,135,44333,25984,827,100008,,
,,,,135,44469,25805,815,100003,,
,,,,135,44549,25848,800,100003,,
,,,,157.5,44673,27427,1284,100007,,
,,,,157.5,44621,27380,1252,100003,,
,,,,157.5,44853,27143,1265,100005,,
,,,,157.5,44715,27299,1260,100004,,
,,,,157.5,44778,26979,1280,100006,,
,,,,157.5,44798,27257,1296,100008,,
,,,,157.5,44010,26976,1236,98865,,
,,,,157.5,44510,27543,1227,100008,,
,,,,157.5,44643,27726,1359,100005,,
,,,,157.5,44227,27117,1248,100003,,
,,,,170,44473,28177,1418,100009,,
,,,,170,44887,28466,1510,100006,,
,,,,170,44706,28427,1380,100007,,
,,,,170,44499,28406,1412,100012,,
,,,,170,44352,28428,1492,100007,,
,,,,170,44506,28868,1439,100006,,
,,,,170,44484,28425,1448,100002,,
,,,,170,44535,28506,1412,100012,,
,,,,170,44886,28590,1482,100004,,
,,,,170,44613,28541,1433,100006,,
,,,,180,44591,29089,1511,100008,,
,,,,180,44476,29162,1469,100002,,
,,,,180,45116,29278,1520,100005,,
,,,,180,44709,29421,1501,100005,,
,,,,180,44749,29266,1542,100008,,
,,,,180,44427,29230,1489,100008,,
,,,,180,44598,29290,1508,100003,,
,,,,180,44720,29663,1509,100009,,
,,,,180,44812,29524,1550,100002,,
,,,,180,44278,28894,1481,100004,,
,,,,80,44906,26873,200,100000,,
,,,,80,44680,26831,183,100000,,
,,,,80,44378,26969,182,99029,,
,,,,80,44726,26871,196,100000,,
,,,,80,44802,26619,200,100001,,
,,,,80,44845,27101,224,100000,,
,,,,80,44545,27005,182,100000,,
,,,,80,44714,26623,187,100002,,
,,,,80,44446,26576,195,99109,,
,,,,80,44799,26620,163,100002,,
,,,,130,44888,25701,674,100002,,
,,,,130,45013,25619,736,100001,,
,,,,130,44670,25685,695,100006,,
,,,,130,44487,25658,638,100002,,
,,,,130,44615,25351,635,100001,,
,,,,130,44807,25670,709,100005,,
,,,,130,44994,25480,751,100005,,
,,,,130,44079,25688,674,99095,,
,,,,130,44882,25461,724,100004,,
