center_freq,e_center_freq,amplitude,cluster_id,red_chi2
-2.9066815814124567,0.004831178450098831,0.16753876672868748,0,0.8460612463659011
-2.775974839657562,0.004359127314417458,0.5732953862723025,0,0.7838733709157464
-2.7018601917902947,0.004139777455469389,0.4164959764909965,0,0.843663352496175
-1.3017877373336788,0.001897830686347413,0.5839236328282191,1,0.9044216067381795
1.562863379230425,0.0022768138903617873,0.28855463512340856,2,1.5489901549639562
1.6241144897795765,0.0022768138903617873,1.1039322017307478,2,1.5489901549639562
1.6553580712507003,0.0022768138903617873,1.371160987908973,2,1.5489901549639562
2.683917858391496,0.004492449325696,0.33504237640707146,3,0.6443184240242205
2.816613185177652,0.004951518412602064,1.0577523984811756,3,0.8330140295627808
2.8950959574299278,0.005250701507142536,0.7642861252807949,3,0.9062015600697692
