center_time,e_center_time,amplitude,cluster_id
-0.020969834212258915,7.467382662546673e-06,1.7159820878758059,0
-0.019151712963842833,2.662111908858146e-06,5.712316488837224,0
-0.018121267608885744,3.932572486416992e-06,4.131772700385358,0
0.00047301985351782784,4.85900926145588e-06,5.895874423056896,1
0.03539594659746201,5.529748725391874e-06,3.008390471168975,2
0.036119661543929815,2.1840507649141443e-06,11.151055309402713,2
0.03648571987393819,2.3546527626156117e-06,13.687769716734156,2
0.048481636375307155,4.294995172502165e-06,3.241092219291514,3
0.05002695301487994,1.5012434423995213e-06,10.643911325938866,3
0.050928167808013056,2.174401979695329e-06,8.010385392924046,3
